Results of plant growth simulation: 


                Accum
       Number    Temp                                    Leaf
  Day      of  during   Plant  Canopy    Root   Fruit    Area
   of    Leaf  Reprod  Weight  Weight  Weight  weight   Index
 Year   Nodes    (oC)  (g/m2)  (g/m2)  (g/m2)  (g/m2) (m2/m2)
 ----  ------  ------  ------  ------  ------  ------  ------
    1    2.00    0.00    0.30    0.26    0.04    0.00    0.01
    2    2.09    0.00    0.40    0.34    0.06    0.00    0.02
    3    2.18    0.00    0.75    0.63    0.11    0.00    0.02
    4    2.27    0.00    1.20    1.02    0.18    0.00    0.03
    5    2.36    0.00    1.75    1.49    0.26    0.00    0.03
    6    2.45    0.00    2.40    2.04    0.36    0.00    0.04
    7    2.55    0.00    3.16    2.68    0.47    0.00    0.05
    8    2.65    0.00    4.02    3.42    0.60    0.00    0.05
    9    2.75    0.00    4.85    4.12    0.73    0.00    0.06
   10    2.85    0.00    5.61    4.77    0.84    0.00    0.07
   11    2.94    0.00    6.60    5.61    0.99    0.00    0.08
   12    3.04    0.00    8.33    7.08    1.25    0.00    0.09
   13    3.14    0.00   10.27    8.73    1.54    0.00    0.09
   14    3.24    0.00   11.95   10.16    1.79    0.00    0.10
   15    3.32    0.00   13.62   11.57    2.04    0.00    0.11
   16    3.42    0.00   16.03   13.62    2.40    0.00    0.12
   17    3.52    0.00   18.78   15.96    2.82    0.00    0.14
   18    3.62    0.00   21.04   17.89    3.16    0.00    0.15
   19    3.71    0.00   22.47   19.10    3.37    0.00    0.16
   20    3.80    0.00   23.50   19.98    3.53    0.00    0.17
   21    3.90    0.00   26.27   22.33    3.94    0.00    0.18
   22    3.99    0.00   29.98   25.49    4.50    0.00    0.20
   23    4.08    0.00   33.91   28.82    5.09    0.00    0.21
   24    4.18    0.00   36.95   31.41    5.54    0.00    0.23
   25    4.28    0.00   40.84   34.71    6.13    0.00    0.24
   26    4.38    0.00   45.29   38.50    6.79    0.00    0.26
   27    4.48    0.00   50.36   42.81    7.55    0.00    0.28
   28    4.58    0.00   55.05   46.79    8.26    0.00    0.30
   29    4.68    0.00   57.29   48.70    8.59    0.00    0.32
   30    4.77    0.00   61.28   52.09    9.19    0.00    0.34
   31    4.87    0.00   65.89   56.01    9.88    0.00    0.36
   32    4.97    0.00   72.62   61.73   10.89    0.00    0.38
   33    5.07    0.00   80.30   68.25   12.04    0.00    0.40
   34    5.16    0.00   81.08   68.92   12.16    0.00    0.42
   35    5.26    0.00   87.83   74.65   13.17    0.00    0.45
   36    5.36    0.00   95.46   81.14   14.32    0.00    0.47
   37    5.46    0.00  104.75   89.04   15.71    0.00    0.50
   38    5.56    0.00  109.38   92.98   16.41    0.00    0.53
   39    5.65    0.00  115.54   98.21   17.33    0.00    0.55
   40    5.75    0.00  124.41  105.75   18.66    0.00    0.58
   41    5.85    0.00  132.76  112.85   19.91    0.00    0.60
   42    5.94    0.00  141.24  120.05   21.19    0.00    0.63
   43    6.04    0.00  150.65  128.05   22.60    0.00    0.67
   44    6.14    0.00  161.28  137.09   24.19    0.00    0.70
   45    6.24    0.00  174.31  148.16   26.15    0.00    0.73
