Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
    0     0.0     0.0     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  246.50   1.700   1.000   1.000
    1     2.4    27.0    19.6    3.80    0.00    0.00    3.80    0.00    0.62    0.62    0.01  249.68   1.722   1.000   1.000
    2     2.4    21.6    15.7    0.00    0.00    0.00    0.00    0.32    0.57    0.56    0.01  248.80   1.716   1.000   1.000
    3     2.4    24.3    13.7    1.60    0.00    0.00    1.60    0.23    0.57    0.57    0.01  249.59   1.721   1.000   1.000
    4     2.4    30.2    14.1    0.00    0.00    0.00    0.00    0.31    0.62    0.61    0.01  248.66   1.715   1.000   1.000
    5     2.4    31.4    14.9    0.00    0.00    0.00    0.00    0.22    0.63    0.62    0.01  247.82   1.709   1.000   1.000
    6     2.4    29.8    17.3    2.20    0.00    0.00    2.20    0.13    0.63    0.61    0.02  249.26   1.719   1.000   1.000
    7     2.4    28.6    16.5    4.80    0.00    0.00    4.80    0.28    0.62    0.60    0.02  253.16   1.746   1.000   1.000
    8     2.4    29.4    16.5    0.00    0.00    0.00    0.00    0.67    0.62    0.60    0.02  251.88   1.737   1.000   1.000
    9     2.4    31.0    16.1    1.20    0.00    0.00    1.20    0.54    0.63    0.61    0.03  251.91   1.737   1.000   1.000
   10     2.4    25.9    15.3    0.00    0.00    0.00    0.00    0.54    0.59    0.56    0.03  250.77   1.729   1.000   1.000
   11     2.4    21.2    17.3    0.00    0.00    0.00    0.00    0.43    0.57    0.54    0.03  249.78   1.723   1.000   1.000
   12     2.4    28.2    16.9    1.00    0.00    0.00    1.00    0.33    0.61    0.58    0.03  249.84   1.723   1.000   1.000
